Site ID,Site,Period,Country,Region,Latitude,Longitude,Context,Notes,Citations,Chemical Characterization,Laboratory,Analytical Methods,Obsidian analyzed,Agicol,Gollu Dag East,Gollu Dag West,Nenezi Dag,Hasan Dag,Erciyes Dag,Erzincan,Erzerum,Pasinler,Sarikamis,Kars-Kagisman,Ikizdere,Bingol B,Nemrut Dag / Bingol A,Meydan Dag,Tendurek Dag,Suphan Dag,Mus,Kechut,Aragats / Arteni,Gegham,Vardenis / Khorapor,Sjunik,Baksan,Gutanasar,Kojun Dag / Chikiani,Hatis,West Anatolia,Demenegaki,Sta Nychia,Giali,3d high in rubidium,1e-f,Unknown
1_6,Jerf el-Ahmar,1,Syria,Middle Euphrate,36.383333,38.183333,"PPNA, transition to PPNB","Abbes' study seems to consolidate all prior analyses, including Bellot-Gurlet's thesis work (probably unpublished. he is also second author). ","Mottram, M. 1997; Pernicka, E. et al 1997; Abbes et al 2003; Bellot-Gurlet, L. 2008","Abbes et al 2003; Pernicka, E. et al 1997; Bellot-Gurlet, L. 2008",,INAA; ICP; ICP-AES; ICP-MS; SEM-EDX; PIXE,44,0,42,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_7,Jericho,1,Palestine,Southern Levant,31.85,35.433333,"""Proto-Neolithic"" et ""Pre-pottery Neolithic A"" (Kenyon)",Garfinkel 2008 lists a PN level at this site with 2 pieces of obsidian and 1947 flint. He sites Crawford-Payne 1983 tables 17-22. ,"Crawfoot-Payne, J. 1983; Garfinkel, Y. 2008; Renfrew, C. et al 1966","Renfrew, C. et al 1966; Gale, N.H. 1981",,OES; Strontium isotope Analysis,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_8,Kortik Tepe,1,Turkey,Jezireh,37.814426,40.983756,PPNA,,"Carter, T. et al 2013","Carter, T. et al 2013",McMaster University,ED-XRF,118,0,0,0,0,0,0,0,0,0,0,0,0,66,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_9,Mureybet,1,Syria,Middle Euphrate,36.0434,38.1287,IA - PPNA,"Bellot-Gurlet''s tables are not consistent. In his summary table, he lists 80 GDE obsidians, 57 of which are from period 2 phases. In fact, only 79 specimens are made out of GDE material, and only 56 pertain to period 2 phases. This simple mistake is apparent by looking at the running totals of analyzed obsidian as well; if 80 is used rather than 79, the total is 92, whereas it should be 91. ","Cauvin, J. 1977; Cauvin, M.C. 1980","Bellot-Gurlet, L. 2010; Gratuze, B. et al 1993",,PIGE,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_10,Netiv Hagdud,1,Palestine,Southern Levant,31.9882,35.4448,PPNA cf. Gilgal,,"Garfinkel, Y. 2008; Nadel, D. 1997; Perlman, I. and Yellin, J. 1980; Yellin, J. 1997","Perlman, I. and Yellin, J. 1980; Yellin, J. 1997",,NAA,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_1,Abu Hureyra,2,Syria,Middle Euphrate,35.86666667,38.38333,"Phase 4; tranchées B, C, D, E: Early Aceramic = Neolithic 2",,"McDaniels, J. et al 1980; Moore, A.M.T. 1982; McDaniels, J.B. 1976; Carter, T. (pers. comm.)","Carter, T. (pers. comm.); McDaniels, J. et al 1980",McMaster University,NAA; XRF,22,0,11,0,0,0,0,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_2,Akarcay Tepe,2,Turkey,Northern Levant,36.919178,38.025658,"Phases III, IV, V and VI",,"Maeda, O. 2007; Maeda, O. 2009 - PhD; Thesis; Delerue, S. and Molist, M., pers. comm (via Maeda)","Maeda, O. 2009 - PhD Thesis; Delerue, S. and Molist, M., pers. comm (via Maeda)",,PIXE,18,0,3,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_3,Ali Kosh,2,Iran,Southern Zagros,32.55,47.4,"Bus Mordeh, Ali Kosh phases",,"Renfrew, C. 1977; Hole, F. and Flannery, K. 1962; Renfrew, C. et al 1966","Renfrew, C. 1977; Renfrew, C. et al 1966",,OES,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_4,Asikli,2,Turkey,Central Anatolia,38.35,34.233333,Proto-Neolithic (Todd),,"Balkan-Atli, N. et al 2001; Balkan-Atli, N. 1994; Gratuze, B. et al 1993; Balkan-Atli, N. and Cauvin, M.C. 1998; Gungordu, F.V. 2010; Chataigner, C. 1998; Schneider, G. 1994; Renfrew, C. et al 1968; Balkan-Atli, N. 1991","Gratuze, B. et al 1993; Schneider, G. 1994; Renfrew, C. et al 1968; Gratuze, B. et al 1994; Chataigner 1998:292",,PIGE,41,1,34,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2_5,Aswad,2,Syria,Central Levant,33.366667,36.55,niv. I B (Est); niv. II (Est et Ouest); MPPNB,"Delerue's analysis of 29 samples was only for M PPNB samples (P3), while her analysis of 34 others was both M and L PPNB (P3 + P4). Orange's analysis of 105 samples was also of both M and L PPNB contexts (P3 + P4). There is some unspecified overlap between Orange and Delerue. McDaniels's 54 samples were of P3 only","Cauvin, M.C. 1974:435; Epstein, S.M. 1977; McDaniels et al 1980","Delerue, S. 2007; McDaniels et al 1980; Orange, M. et al 2013",,MEB-EDS; EDXRF,83,0,50,0,0,0,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_6,Beidha,2,Jordan,Southern Levant,30.366667,35.316667,niv. VI-II : PPNB.,"5 samples analyzed by Cauvin were mentioned by Yellin 1996:366, who sites a personal communication by Byrd. This passage only states that 5 samples were analyzed and that they came from both Cappadocia and Eastern Anatolia. ","Yellin, J. et al 1996; Renfrew, C. et al 1968; Wright, G.A. 1969; Cauvin, M.-C. 1991; Mortensen, P. 1970:12; Garfinkel, Y. 2008","Renfrew, C. et al 1968",,OES,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_7,Beisamoun,2,Israel,Southern Levant,33.166667,35.55,PPNB,,"Lechevallier, M. 1978; Perlman, I. and Yellin, J. 1978; Wright, G.A. and Gordus, A.A. 1969; Perlman, I. and Yellin, J. 1980; ","Wright, G.A. and Gordus, A.A. 1969; Yellin and Garfinkel 1986; Perlman and Yellin 1980; Perlman and Yellin 1978",,OES; REE; INAA,31,0,27,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_8,Birikin Magarasi,2,Turkey,Middle Euphrate,38.15,39.8,PPNB,,"Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_10,Boy Tepe,2,Turkey,High Valleys,38.883333,38.9,,,"Cauvin, M.-C. et al 1991; Balkan, N. 1989","Cauvin, M.-C. et al 1991",,ICP,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_11,Cafer Huyuk,2,Turkey,High Valleys,38.4,38.75,PPNB du Taurus,,"Cauvin, J. and Aurenche, O. 1982; Cauvin, M.-C. et al 1986; Cauvin, M.C. and Balkan, N. 1985; Ozdogan, M. 1977:57-59","Cauvin, M.-C. et al 1986; Cauvin, M.C. et al 1991; Gratuze, B. 1993",,ICP-AES; ICP-MS; ICP; PIGE,21,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_12,Catalhoyuk East,2,Turkey,Central Anatolia,37.666454,32.828349,Pre-XII.A-D / South.G; Aceramic/Early Pottery Neolithic transition,"Analyses done prior to 1999 are ignored (see Carter, T. et al 2006: 894-895)","Renfrew, C. et al 1966; Poupeau et al 2010; Cessford, C. 2001","Poupeau et al 2010; Carter, T. 2014 (pers. comm.)",CRP2A (Bordeaux); CENBG (Bordeaux); C2RMF (Paris),SEM-EDS; PIXE,45,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_13,Cayonu,2,Turkey,High Valleys,38.216667,39.816667,Grill plan,,"Caneva, I. et al 1994; Yegingil, Z. et al 2003; Renfrew, C. et al 1968; Wright, G.A. 1969; Benedict, P. 1980; Cambel, H. and Braidwood, R. 1980","Renfrew, C. et al 1968; Wright, G.A. 1969",,FT; INAA; OES,12,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_14,Cheikh Hassan,2,Syria,Middle Euphrate,36.1,38.116667,IVA; PPNB,"Bellot-Gurlet summarizes all the obsidian that has been sourced, but his tables are not entirely clear. I could only track down 18 of the 23 results he lists - 3 from Gratuze,, 2 from Pernicka, 5 from Abbes, and 8 from his own study. I am not entirely sure about the status of these missing 5 samples, but by looking at his tables thoroughly, I know that 2 are from GDE and 3 are from BB. These missing samples are not included here because I have not been able to verify them. ","Abbes, F. et al 2001","Abbes, F. et al 2001; Pernicka, E. et al 1997; Gratuze et al 1993; Bellot-Gurlet, L. 2008",,INAA; ICP-MS/ICP-AES; PIGE,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_15,Cinaz Huyuk,2,Turkey,Eastern Anatolia,38.7,39.916667,PPNB,Not in ASPRO. ,"Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_16,Dja'de,2,Syria,Middle Euphrate,36.383306,38.183278,Phase IVA; PPNB,Not in ASPRO. ,"Pernicka, E. et al 1997; Coqueugniot, E. 1994; Bellot-Gurlet, L. 2010","Pernicka, E. et al 1997; Bellot-Gurlet, L. 2010",,INAA; XRF,56,1,45,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_17,Ghoraife,2,Syria,Central Levant,33.516667,36.533333,Phase 1,,"McDaniels, J. et al 1980; De Contenson, H. 1995","McDaniels, J. et al 1980",,NAA,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_18,Gobekli,2,Turkey,Jezireh,37.2233,38.9226,Pre-Pottery Neolithic B,,"Benedict, P. 1980; Cambel, H. and Braidwood, R. 1980; Carter, T. 2007 (unpublished report)","Carter, T. 2007 (unpublished report)",,PIXE,100,0,41,0,0,0,0,0,0,0,0,0,0,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2_19,Golbent Ergani,2,Turkey,Central Anatolia,38.283333,39.766667,PPNB,Not in ASPRO,"Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_21,Halula,2,Syria,Middle Euphrate,36.416667,38.166667,Phase IVB/ M PPNB,,"Pernicka, E. et al 1997; Molist, M. et al 1994; Molist, M. and Ferrer, A. 1996","Bellot-Gurlet, 1998; Pernicka, E. et al 1997",,INAA,8,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_22,Horvat Galil,2,Israel,Southern Levant,32.95,35.316667,Early PPNB,"Delerue 2007:223 notes that the one unknown sample has ""une composition totalement 'aberrante' pour une obsidienne""","Delerue, S. 2007; Gopher, A. 1997","Delerue, S. 2007",,ICP-MS; MEB-EDS,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_23,Ilicapinar,2,Turkey,Central Anatolia,38.566667,32.933333,PPNB,,"Mellaart, J. 1958; Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_24,Jarmo,2,Iraq,Northern Zagros,35.533333,44.933333,de la base au niv. 6: Aceramic Neolithic,,"Renfrew, C. et al 1966; Hole, F. 1983; Braidwood, L.S. 1983; Braidwood, L. 1951","Renfrew, C. et al 1966; Wright, G.A. and Gordus, A.A. 1969",,OES,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_25,Jericho,2,Palestine,Southern Levant,31.85,35.433333,"niv. XVII-X: Early Neolithic (Garstang); ""Pre-pottery Neolithic B"" (Kenyon)","Two C14 dates were rejected (4200 BP and 5110 BP).
Garfinkel 2008 lists a PN level at this site with 2 pieces of obsidian and 1947 flint. He sites Crawford-Payne 1983 tables 17-22. ","Crawfoot-Payne, J. 1983; Garfinkel, Y. 2008; Renfrew, C. et al 1966","Renfrew, C. et al 1966",,OES,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_26,Kfar Hahoresh,2,Israel,Southern Levant,32.7,35.2,Middle PPNB,Not in ASPRO. ,"Goring-Morris, N. et al 1998; Delerue, S. 2007; Garfinkel, Y. 2008","Delerue, S. 2007",,MEB-EDS; PIXE,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_27,Mikhmoret,2,Israel,Southern Levant,32.4059,34.8716,PPNB,,"Perlman, I. and Yellin, J. 1980; Yellin and Garfinkel 1986","Perlman, I. and Yellin, J. 1980; Yellin and Garfinkel 1986",,INAA,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_28,Mujahiya,2,Israel,Southern Levant,32.816667,35.683333,PPNB,Not in ASPRO. ,"Gopher, A. 1990; Yellin, J. and Gopher, A. 1992; Garfinkel, Y. 2008","Yellin, J. and Gopher, A. 1992",,INAA,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_29,Mureybet,2,Syria,Middle Euphrate,36.0434,38.1287,IB; II; IIIA; IIIB; IVA; IVB - PPNB,"Not included below: Pernicka, E. et al 1997: ""87 flakes and blades with or without retouches"" - Mureybet IIIA, and ""117 flakes and blades with or without retouches"" - Mureybet IIIB.
23 of the samples analyzed by Warren need to be checked due to un-specific reporting by Pernicka. The other 21 by Warren 1991 are all reportedly from GDE. ","Pernicka, E. et al 1997; Cauvin, M.-C. 1974; Pernicka, E. et al 1974","Warren in Cauvin, M.-C. 1991; Gratuze, B. et al 1993; Pernicka, E. et al 1997; Bellot-Gurlet 1998",,INAA; PIGE,97,0,84,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_30,Nahal Lavan,2,Israel,Southern Levant,30.933333,34.483333,Early PPNB (Noy),,"Burian, F. and Friedman, E. 1988; Perlman, I. and Yellin, J. 1980; Bar Yosef, O. 1976; Garfinkel, Y. 2008; Yellin, J. and Frachtenberg, F. 1992; Rosen, S.A. et al 2005","Yellin, J. and Frachtenberg, F. 1992; Perlman, I. and Yellin, J. 1980; Yellin and Garfinkel 1986; Rosen, S.A. et al 2005",,NAA,68,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_31,Nevshehir Kogulalti,2,Turkey,Central Anatolia,38.5441,34.624,PPNB,,"Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_32,Papazgolu,2,Turkey,High Valleys,38.283333,39.733333,PPNB,Not in ASPRO,"Gratuze, B. et al 1993","Gratuze, B. et al 1993",,PIGE,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_33,Qdeir,2,Syria,Northern Levant,35.25,38.85,PPNB final,,"Aurenche, O. and Cauvin, M.C. 1982; Cauvin, J. 1981; Cauvin, J. et al 1979; Orange, M. et al 2012","Orange, M. et al 2012",,NAA; EDXRF; SEM-EDS,517,0,143,0,4,0,0,0,0,0,0,0,0,248,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_34,Ramad,2,Syria,Central Levant,33.4,36.1,"niv. I (base du carré Ouest, carré Est, sommet du carré Nord): pré-céramique = PPNB;  niv. II (carrés Ouest, Est, Nord): PPNB final",,"Renfrew, C. et al 1966; Wright, G.A. 1969; Cauvin, M.C. 2000; De Contenson, H. 2000; Garfinkel, Y. 2008","Renfrew, C. et al 1966; Wright, G.A. and Gordus, A.A. 1969",,OES,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_35,Shillourokambos,2,Cyprus,Cyprus,34.721,33.014,"Aceramic Neolithic, contexts dating to IXth and VIIIth centuries",,"Briois, F. et al 1997; Guilaine, J. et al 1995","Briois, F. et al 1997; Gratuze, B. 1999",,ANRC; LA-ICP-MS,64,0,61,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_36,Tell Abdul Hosein,2,Iran,Southern Zagros,34.13333333,48.15,,The unknown specimen is from the same source as that from Hazorea. ,"Pullar, J. 1990:113; Pullar, J. et al 1986","Pullar, J. et al 1986",,NAA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_37,Tell el-Kerkh 2,2,Syria,Northern Levant,35.816667,36.45,"El-Rouj 1, 2a/2b",,"Maeda, O. 2003","Maeda, O. 2003",,ED-XRF; ICP-AES,367,1,322,0,25,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2_38,Tell es-Sinn,2,Syria,Jezireh,35.225212,43.419369,L PPNB,,"Roodenberg, J.J. 1979-1980",Boerma 1977,,AAS; XRF,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_39,Umm et-Tlel,2,Syria,Northern Levant,35.261667,38.896978,"Final PPNB, 5800 BC according to Gratuze 1993",The date given by Gratuze is inconsistent with the FPPNB designation,"Cauvin, J. 1981; Cauvin, J. et al 1979; Gratuze, B. et al 1993; Gratuze, B. 1999","Gratuze, B. et al 1993; Gratuze, B. 1999",,PIGE; XRF; ICP-MS,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_40,Yiftael,2,Israel,Southern Levant,32.716667,35.283333,,One specimen was damaged during analysis and yielded no useful information. ,"Yellin, J. and Garfinkle, Y. 1986; Chataigner, C. 1998:282","Yellin, J. and Garfinkel, Y. 1986",,INAA,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_41,Yumuktepe,2,Turkey,Central Anatolia,36.833333,34.566667,Early Neolithic,Altinbilek-Algul refers to Gratuze and Boucetta 2006 which is an unpublished report,"Altinbilek-Algul, C. 2011; Gratuze, B. and Boucetta, S. 2006; Calcagnile, L. et al 2010; Zembello, M. 2004; Caneva, I. 1999","Gratuze, B. and Boucetta, S. 2006; Calcagnile, L. et al 2010",,LA-ICP-MS; PIXE; PIGE,42,1,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_42,el-Khiam,2,Palestine,Southern Levant,31.633333,35.266667,niv. A 2-1 (Neuville) et couche 1 (Echegaray) (60cm): PPNB,,"Perrot, J. 1951; Wright, G.A. and Gordus, A.A. 1969","Wright, G.A. and Gordus, A.A. 1969",,OES; NAA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_43,Munhata,2,Israel,Southern Levant,32.616667,35.533333,,,"Gopher, A. 1990; Garfinkel, Y. 2008; Wright, G.A. and Gordus, A.A. 1969; Chataigner 1998:285","Wright, G.A., 1969",,OES,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_44,Nahal Oren,2,Israel,Southern Levant,32.58333333,35.03333333, PPNA/Early PPNB,,"Delerue, L. 2007","Delerue, L. 2007",,ICP-MS,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_45,Tamerkhan,2,Iraq,Mesopotamian plain,33.733333,47.533333,L PPNB,,"Oates, J. 1968; Oates, J. 1966","Wright, G.A. and Gordus, A.A. 1969",,OES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_1,Abu Hureyra,3,Syria,Middle Euphrate,35.86666667,38.38333,Phase 5; Later Aceramic = Neolithic 2,,"Carter, T. (pers. comm.); McDaniels, J. et al 1980","Carter, T. (pers. comm.); McDaniels, J. et al 1980",McMaster University,ED-XRF; NAA,23,0,5,0,0,0,0,0,0,0,0,0,0,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_2,Ain Miri,3,Israel,Southern Levant,33.066667,35.45,Late PPNB,,"Delerue, 2007","Delerue, 2007",,MEB-EDS; PIXE,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
