Key	Item Type	Publication Year	Author	Title	Publication Title	Volume	Issue	Pages	Publisher	Place	Editor	Series	Series Number	Conference Name	ISBN	ISSN	DOI	Url
HPAE66AP	journalArticle	1996	"Yellin, Joseph; Levy, Thomas E.; Rowan, Yorke M."	"New Evidence on Prehistoric Trade Routes: The Obsidian Evidence from Gilat, Israel"	Journal of Field Archaeology	23	3	361								934690	10.2307/530487	http://www.jstor.org/stable/530487?origin=crossref
MQWB6Z84	thesis	1988	"Ataman, Kathryn"	"Chipped stone assemblage from Can Hasan III: a study in typology, technology and function."					University College London	London								
TEMU3SDI	bookSection	1986	"Blackman, M James"	The provenience of obsidian artifacts from Late Chalcolithic levels at Aphrodisias	Prehistoric Aphrodisias. an account of the excavations and artefact studies	1		279-285	Publications de I’histoire de I’art et d’archeologie de I’Universite Catholique de Louvain	Louvain	"Joukowski, M."							
UAG2GX4S	bookSection	1984	"Blackman, M James"	Provenance studies of Middle Eastem obsidian from sites in highland Iran	Archaeological chemistry-III			19–50	American Chemical Society	Washington	"Lambert, Joseph P."							
P9HS2NDK	bookSection	1988	"Boerma, Jan A.K."	Appendix 3: Obsidian Analyses	Hammam et-Turkman I: report on the University of Amsterdam's 1981-84 excavations in Syria	1		717-718	Nederlands Historisch-Archeologisch Instituut te İstanbul	Istanbul	"van Loon, Maurits Nanning"							
S2PVTRKZ	journalArticle	1986	"Cauvin, Marie-Claire; Balkan, Nur; Besnus, Yves; Şaroglu, Fovad"	Origine de l'obsidienne de Cafer Höyük (Turquie): premiers résultats	Paléorient	12	2	89–97										
8P26637Z	conferencePaper	1987	"Fox, W.; Rupp, D.W."	The Neolithic occupation of western Cyprus	"Western Cyprus Connections: An Archaeological Symposium held at Brock University, St. Catherines, Ontario, Canada, March 21-22, 1986."	77		19–42	P. Åströms Förlag	Uppsala		Studies in Mediterranean Archaeology						
RKBBJCMK	bookSection	1983	"Inizan, ML; Tixier, J"	Tell el ‘Oueli: Le material lithique	"Larsa et Oueili, travaux de 1978–1981"			164–175	ERC	Paris	"Huot, JL"							
7WX34QFV	book	1981	"Le Brun, Alain"	Un site neolithique preceramique en Chypre: cap Andreas-Kastros					Editions ADPF (Association pour la diffusion de la pensée française)	Paris		Recherche sur les grandes civilisations	5					
UZ2WF8W8	conferencePaper	1980	"McDaniels, J.; Warren, S.E.; Moore, A.M.T."	New Investigations of Obsidian from Some Neolithic Sites in the Near East	"Proceedings of the 16th International Symposium on Archaeometry and Archaeological Prospection, Edinburgh 1976"			19-Jan	The National Museum of Antiquities of Scotland	Edinburgh	"Slater, E.A.; tate, J.O."							
URWT6984	conferencePaper	1986	"Pullar, J; Yellin, J; Perlman, I"	Source of obsidian from Tepe Abdul Hosein as determined by neutron activation analysis	Proceedings of the 24th international archaeometry symposium			389–401	Smithsonian Institution Press	Washington	"Olin, Jacqueline S.; Blackman, M. James"							
Z2JPU3GM	conferencePaper	1983	"Yeğingil, Z"	"Tülintepe, Tepecik, Çayönü Obsidienlerinin Plato Düzeltme Tekniği ile Bulunmuş Yaşları"	Arkeometri Ünitesi Bilimsel Toplantı Bildirileri III (1982)	566		253-258	TÜBİTAK Publications	Ankara								
3U8HA77D	journalArticle	1986	"Yellin, Joseph; Garfinkel, Yosef"	"The Source of Archaeological Obsidian from a Pre-Pottery Neolithic B Site at Yiftahel, Israel"	Paléorient	12	2	99–104										
STJCUKN9	conferencePaper	1981	"Yellin, J; Perlman, I"	Source Obsidian Rare Earth Patterns and Obsidian Artifact Provenience	"Actes du XX Symposium International d'Archéométrie, Paris 26-29 mars 1980"	3		325–330	Revue d'Archéométrie	Paris		Revue d'Archéométrie						
RMVGIJ5H	journalArticle	1981	"Gale, Noel H."	Mediterranean obsidian source characterisation by strontium isotope analysis	Archaeometry	23	1	41–51										http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4754.1981.tb00953.x/abstract
C27V2M9A	journalArticle	1980	"Perlman, Isadore; Yellin, Joseph"	The provenience of obsidian from Neolithic sites in Israel	Israel Exploration Journal	30	02-Jan	83–88										http://www.jstor.org/stable/27925743
FJK5TTCF	journalArticle	1971	"Buchholz, Hans Günter"	Das prakeramische neolothikum vom kap Andreas Zypern	Archäologischer Anzeiger	4		493-504										
SEJIVRC9	journalArticle	1964	"Cann, Johnson Robin; Renfrew, Colin"	The Characterization of Obsidian and its application to the Mediterranean Region.	Proceedings of the Prehistoric Society (New Series)	30		111–133										
EHHFBM5Q	bookSection	1979	"Peltenburg, E"	Troulli reconsidered	Studies Presented in Memory of Porphyrios Dikaios			21–45	Lions Club of Nicosia	Nicosia	"Karageorghis, Vassos; Catling, Hector William; Dikaios, Porphyrios"							
AMVVPXN7	bookSection	1978	"Perlman, Isadore; Yellin, Joseph"	Abou Gosh et Beisamoun. Deux gisements du VII millénaire avant l'ère chrétienne en Israël	Mémoires et Travaux du Centre de Recherches Préhistoriques Français de Jérusalem Jérusalem			199-200	Association Paléorient	Paris	"Lechevallier, Monique"	Mémoires et Travaux du Centre de Recherches Préhistoriques Français de Jérusalem	2					
XAFME52K	bookSection	1976	"Renfrew, Colin; Dixon, John"	Obsidian in western Asia: a review	Problems in economic and social archaeology			137–150	Duckworth	London	"Sieveking, Gale de Giberne; Longworth, Ian H.; Wilson, K.E."							
VN4MWJWD	journalArticle	1969	"Renfrew, Colin; Dixon, JE; Cann, Johnson Robin"	Further Analysis of Near Eastern Obsidians.	Proceedings of the Prehistoric Society (New Series)	34		319–331										
J89HWDVH	journalArticle	1966	"Renfrew, Colin; Dixon, JE; Cann, Johnson Robin"	Obsidian and Early Cultural Contact in the Near East.	Proceedings of the Prehistoric Society (New Series)	32		30–72										
BNCWBC5I	book	1969	"Wright, Gary A"	Obsidian analyses and prehistoric Near Eastern trade: 7500 to 3500 B.C					University of Michigan Press	Ann Arbor		Anthropological Papers	37					
3CR8ZA6W	journalArticle	1969	"Wright, Gary A; Gordus, Adon A"	Distribution and utilization of obsidian from Lake Van sources between 7500 and 3500 BC	American Journal of Archaeology	73	1	75–77										
NV3VFZFM	journalArticle	1969	"Wright, GA; Gordus, AA"	"Source Areas for Obsidian Recovered at Munḥata, Beisamoun, Hazorea and El-Khiam"	Israel Exploration Journal			79–88										
QS2N6AZE	journalArticle	1975	"Taddeucci, A.; Palmieri, Alberto M.; Malpieri, L.; Fornaseri, M."	Analyses of Obsidians from the late Chalcolithic Levels of Arslantepe (Malatya)	Paléorient	3	1	231-246								0153-9345	10.3406/paleo.1975.4199	http://www.persee.fr/web/revues/home/prescript/article/paleo_0153-9345_1975_num_3_1_4199
NJDHWIW2	journalArticle	1972	"Mahdavi, A.; Bovington, C."	Neutron Activation Analysis of Some Obsidian Samples from Geological and Archaeological Sites	Iran	10		148								5786967	10.2307/4300472	http://www.jstor.org/stable/10.2307/4300472?origin=crossref
EVNBE7VF	conferencePaper	2010	"Chataigner, Ch; Avetisyan, P; Palumbi, G; Uerpmann, HP"	"Godedzor, a Late Ubaid-related site in the southern Caucasus"	Beyond the Ubaid—transformation and integration in the late prehistoric societies of the Middle East			377-394	The Oriental Institute of the University of Chicago	Chicago	"Carter, Robert A.; Philip, Graham"	Studies in Ancient Oriental Civilization		"The Ubaid Expansion? Cultural Meaning, Identity and the Lead-Up to Urbanism. International Workshop held at Grey College, University of Durham, 20-22 April 2006"				
NX97TSQ9	thesis	2010	"Güngördü, Fevzi Volkan"	"Obsidian, Trade and Society in the Central Anatolian Neolithic"					Bilkent University	Ankara								
B8Q464MP	conferencePaper	2011	"Kayacan, Nurcan; Özbaşaran, Mihriban"	Preliminary Results of the Technological Analyses of Mosul Obsidian - Central Anatolia	"The State of the Stone, Terminologies, Continuities, and Contexts in Near Eastern Lithics. Proceedings of the Sixth PPN Conference on Chipped and Ground Stone Artefacts in the Near East, Manchester, 3rd-5th March 2008. Includes papers of the Fourth PPN Workshop on Chipped Lithic Industries, Niğde/Cappadocia, 4th-8th June 2001.(SENEPSE 13)"			417-419	ex oriente	Berlin	"Healey, E; Campbell, S; Maeda, O"	"Studies in early Near Eastern production, subsistence, and environment"						
9D5NFXS8	conferencePaper	2011	"Maeda, Osamu"	The Social Roles of the Use of Flint and Obsidian Artefacts at Salat Cami Yanı in the Upper Tigris Valley	"The State of the Stone, Terminologies, Continuities, and Contexts in Near Eastern Lithics. Proceedings of the Sixth PPN Conference on Chipped and Ground Stone Artefacts in the Near East, Manchester, 3rd-5th March 2008. Includes papers of the Fourth PPN Workshop on Chipped Lithic Industries, Niğde/Cappadocia, 4th-8th June 2001.(SENEPSE 13)"			317-326	ex oriente	Berlin	"Healey, E; Campbell, S; Maeda, O"	"Studies in early Near Eastern production, subsistence, and environment"						
Q6XMCTG9	thesis	2012	"Orange, Marie"	L'obsidienne néolithique au Proche-Orient : analyse de provenance et étude technologique des séries syriennes de Tell Aswad (PPNB moyen/récent) et Qdeir 1 (PPNB final).					Université Michel de Montaigne BORDEAUX 3	Pessac								
3GHM4VJ6	journalArticle		"Orange, Marie; Carter, Tristan; Le Bourdonnec, François-Xavier"	"Obsidian Consumption at Qdeir 1, a Final Pre-Pottery Neolithic Site in Syria: An Integrated Characterisation Study"	Journal of Archaeological Science													
R898BMCI	conferencePaper	2013	"Khalidi, Lamya; Gratuze, Bernard; Haidar-Boustani, Maya; Ibáñez, Juan José; Teira, Luís"	"Results of geochemical analyses of obsidian artefacts from the Neolithic site of Tell Labwe South, Lebanon"	Stone tools in transition: from hunter-gatherers to farming societies in the Near East : papers presented to the 7th Conference on PPN Chipped and Ground Stone Industries of the Fertile Crescent			475-494	Universitat Autònoma de Barcelona	Barcelona	"Borrell, Ferran; Ibáñez Estévez, Juan José; Molist, Miquel"				978-84-490-3818-1			
T88XSSIR	journalArticle	2013	"Carter, Tristan; Grant, Sarah; Kartal, Metin; Coşkun, Aytaç; Özkaya, Vecihi"	Networks and Neolithisation: sourcing obsidian from Körtik Tepe (SE Anatolia)	Journal of Archaeological Science	40	1	556-569								3054403	10.1016/j.jas.2012.08.003	http://linkinghub.elsevier.com/retrieve/pii/S0305440312003536
43NUX68N	conferencePaper	2013	"Carter, Tristan; Milić, Marina"	The consumption of obsidian at Neolithic Çatalhöyük: a long-term perspective	Stone tools in transition: from hunter-gatherers to farming societies in the Near East : papers presented to the 7th Conference on PPN Chipped and Ground Stone Industries of the Fertile Crescent			495-508	Universitat Autònoma de Barcelona	Barcelona	"Borrell, Ferran; Ibáñez Estévez, Juan José; Molist, Miquel"				978-84-490-3818-1			
BV88STG2	journalArticle	2011	"Carter, Tristan; Le Bourdonnec, François-Xavier; Poupeau, Gérard; Kartal, Metin; Calligaro, Thomas; Moretto, Philippe"	Marginal perspectives: sourcing Epi-palaeolithic to Chalcolithic obsidian from the Öküzini cave (SW Turkey)	Paléorient	37	2	123–149										http://www.jstor.org/stable/43265272
WV574VIM	journalArticle	2014	"Chataigner, C.; Gratuze, B."	"New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia, Georgia) and Eastern Turkey, Part 1: Source Characterization: Obsidian in the Caucasus (Armenia, Georgia) and eastern Turkey, part 1"	Archaeometry	56	1	25-47								0003813X	10.1111/arcm.12006	http://doi.wiley.com/10.1111/arcm.12006
NGU6JXM8	journalArticle	2014	"Chataigner, C.; Gratuze, B."	"New Data on the Exploitation of Obsidian in the Southern Caucasus (Armenia, Georgia) and Eastern Turkey, Part 2: Obsidian Procurement from the Upper Palaeolithic to the Late Bronze Age: Obsidian in the Caucasus (Armenia, Georgia) and eastern Turkey, part 2"	Archaeometry	56	1	48-69								0003813X	10.1111/arcm.12007	http://doi.wiley.com/10.1111/arcm.12007
497A4KCH	journalArticle	2013	"Darabi, Hojjat; Glascock, Michael D."	"The source of obsidian artefacts found at East Chia Sabz, Western Iran"	Journal of Archaeological Science	40	10	3804-3809								3054403	10.1016/j.jas.2013.04.022	http://linkinghub.elsevier.com/retrieve/pii/S0305440313001465
87AZ58UC	bookSection	2012	"Delerue, Sarah; Gopher, Avi; Poupeau, Gérard; Milton, Anthony; Barrat, Jean-Alix"	Obsidians of Nahal Zehora II and their Provenance	"Village communities of the pottery neolithic period in the Menashe Hills, Israel: archaeological investigations at the sites of Naḥal Zehora"	2		1101-1109	Emily and Claire Yass Publications in Archaeology	Tel Aviv	"Gopher, Avi"	Monograph Series	29		978-965-266-032-9			
9NG8DZRP	journalArticle	2012	"Forster, Nicola; Grave, Peter"	Non-destructive PXRF analysis of museum-curated obsidian from the Near East	Journal of Archaeological Science	39	3	728-736								3054403	10.1016/j.jas.2011.11.004	http://linkinghub.elsevier.com/retrieve/pii/S0305440311004080
M87E28QV	thesis	2010	"Frahm, Ellery Edward"	"The Bronze-Age obsidian industry at Tell Mozan (Ancient Urkesh), Syria: redeveloping electron microprobe analysis for 21st-Century sourcing research and the implications for obsidian use and exchange in Northern Mesopotamia after the neolithic."					University of Minnesota	Minneapolis								http://conservancy.umn.edu/handle/11299/99753
MTP3RWFP	journalArticle	2013	"Frahm, Ellery; Feinberg, Joshua M."	"Empires and resources: Central Anatolian obsidian at Urkesh (Tell Mozan, Syria) during the Akkadian period"	Journal of Archaeological Science	40	2	1122-1135								3054403	10.1016/j.jas.2012.07.019	http://linkinghub.elsevier.com/retrieve/pii/S0305440312003457
CHSUK87B	journalArticle	2013	"Khalidi, Lamya; Inizan, Marie-Louise; Gratuze, Bernard; Crassard, Rémy"	Considering the Arabian Neolithic through a reconstitution of interregional obsidian distribution patterns in the region	Arabian archaeology and epigraphy	24	1	59–67										http://onlinelibrary.wiley.com/doi/10.1111/aae.12020/full
4JF8MHJW	journalArticle	2012	"Le Bourdonnec, François-Xavier; Nomade, Sébastien; Poupeau, Gérard; Guillou, Hervé; Tushabramishvili, Nikolos; Moncel, Marie-Hélène; Pleurdeau, David; Agapishvili, Tamar; Voinchet, Pierre; Mgeladze, Ana; Lordkipanidze, David"	Multiple origins of Bondi Cave and Ortvale Klde (NW Georgia) obsidians and human mobility in Transcaucasia during the Middle and Upper Palaeolithic	Journal of Archaeological Science	39	5	1317-1330								3054403	10.1016/j.jas.2011.12.008	http://linkinghub.elsevier.com/retrieve/pii/S030544031100447X
X9NSIC9R	journalArticle	2013	"Khademi Nadooshan, Farhang; Abedi, Akbar; Glascock, Michael D.; Eskandari, Nasir; Khazaee, Mostafa"	"Provenance of prehistoric obsidian artefacts from Kul Tepe, northwestern Iran using X-ray fluorescence (XRF) analysis"	Journal of Archaeological Science	40	4	1956-1965								3054403	10.1016/j.jas.2012.12.032	http://linkinghub.elsevier.com/retrieve/pii/S0305440312005572
KR8C5BUJ	journalArticle	2010	"Niknami, K. A.; Amirkhiz, A. C.; Glascock, M. D."	"Provenance Studies if Chalcolithic Obsidian Artefacts from Near Lake Urmia, Northwestern Iran Using WDXRF Analysis"	Archaeometry	52	1	19-30								"0003813X, 14754754"	10.1111/j.1475-4754.2009.00474.x	http://doi.wiley.com/10.1111/j.1475-4754.2009.00474.x
I3NEE4CD	journalArticle	2013	"Orange, Marie; Carter, Tristan; Le Bourdonnec, François-Xavier"	Sourcing obsidian from Tell Aswad and Qdeir 1 (Syria) by SEM-EDS and EDXRF: Methodological implications	Comptes Rendus Palevol	12	3	173-180								16310683	10.1016/j.crpv.2012.11.001	http://linkinghub.elsevier.com/retrieve/pii/S1631068312001947
RFK3GKW6	journalArticle	2011	"Perlès, Catherine; Takaoğlu, Turan; Gratuze, Bernard"	Melian obsidian in NW Turkey: Evidence for early Neolithic trade	Journal of Field Archaeology	36	1	42-49								"0093-4690, 2042-4582"	10.1179/009346910X12707321242313	http://www.maneyonline.com/doi/abs/10.1179/009346910X12707321242313
FK53TI7R	journalArticle	2010	"Poupeau, Gérard; Le Bourdonnec, François-Xavier; Carter, Tristan; Delerue, Sarah; Steven Shackley, M.; Barrat, Jean-Alix; Dubernet, Stéphan; Moretto, Philippe; Calligaro, Thomas; Milić, Marina; Kobayashi, Katsuji"	"The use of SEM-EDS, PIXE and EDXRF for obsidian provenance studies in the Near East: a case study from Neolithic Çatalhöyük (central Anatolia)"	Journal of Archaeological Science	37	11	2705-2720								3054403	10.1016/j.jas.2010.06.007	http://linkinghub.elsevier.com/retrieve/pii/S0305440310001937
H9A267TI	journalArticle	2011	"Spriggs, Matthew; Reepmeyer, Christian; Anggraeni; Lape, Peter; Neri, Leee; Ronquillo, Wilfredo P.; Simanjuntak, Truman; Summerhayes, Glenn; Tanudirjo, Daud; Tiauzon, Archie"	Obsidian sources and distribution systems in Island Southeast Asia: a review of previous research	Journal of Archaeological Science	38	11	2873-2881								3054403	10.1016/j.jas.2011.06.015	http://linkinghub.elsevier.com/retrieve/pii/S0305440311002135
PT6UHHTN	document	2007	"Le Bourdonnec, François-Xavier"	Rapport sur le projet EU-ARTECH 07: Towards a materiality of pilgrimage?														
XVRMFH2E	journalArticle	2003	"Yegingil, Zehra; Bigazzi, G.; Oddone, M.; Ozdogan, M."	A study on the chronological distribution and exchange of Cayönü obsidians by FT dating and INAA techniques	IAOS Bulletin	30		19										
PAX3CVF8	journalArticle	2007	"Valla, François Raymond; Khalaily, Hamoudi; Valladas, Hélène; Kaltnecker, Evelyne; Bocquentin, Fanny; Cabellos, Tereza; Bar-Yosef Mayer, DE; Le Dosseur, G; Regev, L; Chu, V; Weiner, S; Boaretto, E; Samuelian, N; Valentin, B; Delerue, S; Poupeau, G; Bridault, A; Rabinovich, R; Simmons, T; Zohar, I; Ashkenazi, S; Delgado Huertas, A; Spiro, B; Mienis, H.K.; Rosen, A.M.; Porat, N; Belfer-Cohen, A"	Les fouilles de Ain Mallaha (Eynan) de 2003 à 2005: Quatrième rapport préliminaire	Journal of the Israel Prehistoric Society	37		135–383										
IAZMPM3S	journalArticle	2003	"Oddone, Massimo; Yegingil, Zehra; Ozdogan, Mehmet; Meloni, Sandro; Bigazzi, Giulio"	Provenance studies of obsidian artefacts from turkish neolithic sites. An interdisciplinary approach by INAA and fission track dating	Revue d'Archéométrie	27		137–146										
G8EIS55S	journalArticle	2000	"Oddone, M; Bigazzi, G; Keheyan, Y; Meloni, S"	Characterisation of Armenian obsidians: Implications for raw material supply for prehistoric artifacts	Journal of Radioanalytical and Nuclear Chemistry	243	3	673–682										
UDI4SV7N	journalArticle	2007	"Nadooshan, Farhang Khademi; Phillips, S. Colby; Safafi, Mohammad"	WDXRF Spectroscopy of Obsidian Tools in the Northwest of Iran	IAOS Bulletin	37		06-Mar										
P47779QE	thesis	2009	"Maeda, Osamu"	The materiality of obsidian and the practice of obsidian use in the neolithic near east					The University of Manchester									
P2GIN6QD	bookSection	2003	"Maeda, O."	Prehistoric obsidian distribution in the Rouj Basin	Archaeology of the Rouj Basin: A Regional Study of the Transition of Village to City in Northwest Syria	1		167–184	"Department of Archaeology, Institute if History and Anthropology, University of Tsukaba"	"Tsukaba, Japan"	"Iwasaki, T.; Tsuneki, A."							
G3RVGC5C	bookSection	2002	"Kobayashi, Katsuji; Mochizuki, Akihiko; Omura, Sachihiro"	X-Ray Fluorescence Analysis and Source Identification of Obsidian Artifacts Excavated from the Early Bronze Age Stratum at Kaman-Kalehöyük	Kaman-Kalehöyük			159-162	Japanese Institute of Anatolian Archaeology	"Tokyo, Japan"		Anatolian Archaeology Studies	11					
VRNS8XHB	bookSection	2001	"Kobayashi, Katsuji; Mochizuki, Akihiko; Omura, Sachihiro"	X-Ray Fluorescence Analysis and Source Identification of Obsidian Artifacts Found During the 1999 General Archaeology Survey	Kaman-Kalehöyük			167-172	Japanese Institute of Anatolian Archaeology	"Tokyo, Japan"		Anatolian Archaeology Studies	10					
H6KQTPM2	bookSection	2008	"Keller, Jörg; Pernicka, Ernst; Kasper, Kirstin"	Obsidian and Pumice Findings and their Provenance	Neolithic Ashkelon			271-279	The Hebrew University of Jerusalem	Jerusalem	"Garfinkel, Y; Dag, D"	Qedem	47					
TTGC7V9M	journalArticle	2008	"Ghorabi, S; Glascock, MD; Khademi, F; Rezaie, A; Feizkhah, M"	A geochemical investigation of obsidian artifacts from sites in northwestern Iran	IAOS Bulletin	39		7–10										
4IQDP2PM	bookSection	1996	"Copeland, L."	The Flint and Obsidian Industries	"Tell Sabi Abyad, The Late Neolithic Settlement : Report On The Excavations Of The University Of Amsterdam (1988) And The National Museum Of Antiquities Leiden (1991-1993) In Syria"			285-338	Nederlands Historisch-Archaeologisch Instituut te Istanbul	Istanbul		Uitgaven Van Het Nederlands Historisch-Archaeologisch Instituut Te Istanbul			90-6258-078-5			http://ehrafarchaeology.yale.edu/document?id=m086-016
QW6IHGI9	journalArticle	2001	"Chabot, J; Poidevin, JL; Chataigner, C; Fortin, M"	"Caracterisation et provenance des artefacts en obsidienne de Tell’Atij et de Tell Gudeda (III millenaire, Syrie)"	Cahiers d’Acheologie du CELAT	10		24										
H6KNH4UD	journalArticle	2008	"Carter, Tristan; Dubernet, Stéphan; King, Rachel; Le Bourdonnec, François-Xavier; Milic, Marina; Poupeau, Gérard; Shackley, M Steven"	Eastern Anatolian obsidians at Çatalhöyük and the reconfiguration of regional interaction in the Early Ceramic Neolithic	Antiquity	82	318	900										
2I4FXNRV	conferencePaper	2007	"Calcagnile, L.; Quarta, G.; Butalag, K.; Maruccio, L.; D'Elia, M.; Caramia, A.; Lamura, G."	PIXE Analysis of Artifacts from Radiocarbon Dated Archaeological Contexts	Proceedings of the XI International Conference on PIXE and its Analytical Applications			PI-41 1-5		"Puebla, Mexico"								
S3JJMIHZ	journalArticle	2003	"Bellot-Gurlet, L; Poupeau, G; Bressy, C"	Element contents determined by ICPAES and ICP-MS at Grenoble on nine obsidian artefacts from Tell Kosak Shamali: results and inferences on provenance	Tell Kosak Shamali	2		1.13E+121										
ZRKV9EV7	journalArticle	2003	"Abbès, F.; Bellot-Gurlet, L.; Cauvin, M.-C.; Delerue, S.; Dubernet, S.; Poupeau, G.; Stordeur, D."	"Provenance of the Jerf el Ahmar (Middle Euphrates Valley, Syria) obsidians"	Journal of Non-Crystalline Solids	323	03-Jan	162-166								223093	10.1016/S0022-3093(03)00299-0	http://linkinghub.elsevier.com/retrieve/pii/S0022309303002990
